Year,Type,Country,Area,Activity,Sex ,Fatal
2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2004.0,Unprovoked,AUSTRALIA,New South Wales,Diving,M,False
2004.0,Boat,NEW ZEALAND,North Island,Fishing,,False
2004.0,Unprovoked, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,True
2004.0,Invalid, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,True
2004.0,Unprovoked,USA,Hawaii,Surfing,M,True
2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,False
2004.0,Invalid,USA,Hawaii,Surfing,F,True
2004.0,Unprovoked,USA,Florida,,M,False
2004.0,Unprovoked,USA,Florida,Surfing,M,False
2004.0,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,False
2004.0,Unprovoked,USA,Florida,Surfing,M,False
2004.0,Unprovoked,REUNION,Saint-Benoît,Surfing,M,False
2004.0,Unprovoked,USA,Florida,Swimming,M,False
2004.0,Unprovoked,USA,Hawaii,Snorkeling,F,False
2004.0,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,False
2004.0,Unprovoked,USA,Hawaii,Surfing,M,False
2004.0,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,False
2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2004.0,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Surfing,M,False
2004.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,False
2004.0,Invalid,AUSTRALIA,Queensland,Free diving & spearfishing,M,True
2004.0,Unprovoked,EGYPT,,Snorkeling,M,True
2004.0,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,False
2004.0,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,M,False
2004.0,Unprovoked,URUGUAY,Rocha,Surfing,M,False
2004.0,Invalid,NEW ZEALAND,Northlands,Boogie boarding,M,True
2004.0,Unprovoked,VENEZUELA,Anzoategui,Swimming,M,False
2004.0,Unprovoked,VENEZUELA,Anzoategui,Spearfishing,M,False
2004.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,M,False
2004.0,Unprovoked,AUSTRALIA,New South Wales,Diving,M,False
2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2004.0,Invalid,NEW ZEALAND,North Island,Kayaking (returning from spearfishing),M,True
2004.0,Sea Disaster,EGYPT,Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,True
2004.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2003.0,Boating,SOUTH AFRICA,KwaZulu-Natal,,,False
2003.0,Invalid,USA,Florida,Swimming,M,True
2003.0,Unprovoked,USA,Florida,Swimming,M,False
2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Swimming / shipwreck,M,True
2003.0,Unprovoked,AUSTRALIA,Victoria,Surfing amid a shoal of sharks,M,False
2003.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,False
2003.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,False
2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,True
2003.0,Unprovoked,USA,Florida,Surfing,F,False
2003.0,Unprovoked,INDIA,Tamil Nadu,Swimming or surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,M,False
2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,,False
2003.0,Unprovoked,AUSTRALIA,New South Wales,Standing,M,False
2003.0,Provoked,PANAMA,Pearl Islands,Spearfishing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2003.0,Unprovoked,USA,Hawaii,Surfing,F,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Invalid,USA,Hawaii,Snorkeling,M,True
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Invalid,USA,Florida,Swimming to shore from boat or kayak,M,True
2003.0,Unprovoked,USA,Florida,Surfing,F,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Provoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Sitting on surfboard,M,False
2003.0,Unprovoked,USA,Hawaii,Wading near a fishing net,F,False
2003.0,Unprovoked,FIJI,Taveuni,Wading to shore from his boat,M,True
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing ,,False
2003.0,Invalid,USA,Florida,Swimming,F,True
2003.0,Unprovoked,USA,Florida,Body boarding,M,False
2003.0,Unprovoked,USA,South Carolina,"Standing, stepped on shark",M,False
2003.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,M,True
2003.0,Unprovoked,USA,Florida,Wade-fishing,M,False
2003.0,Provoked,USA,Texas,Fishing,M,False
2003.0,Unprovoked,USA,California,"Swimming, wearing black wetsuit & swim fins",F,True
2003.0,Invalid,USA,California,Swimming,M,True
2003.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sitting on surfboard,M,False
2003.0,Unprovoked,AUSTRALIA,Northern Territory,Surf skiing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Wading,F,False
2003.0,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,False
2003.0,Provoked,USA,Florida,"Walking, carrying surfboard & stepped on shark",M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,False
2003.0,Unprovoked,USA,Florida,Spearfishing,M,False
2003.0,Unprovoked,FRENCH POLYNESIA,Society Islands,Spearfishing,M,False
2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Snorkeling,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,BRAZIL,Pernambuco,,M,True
2003.0,Unprovoked,USA,Florida,Standing,F,False
2003.0,Unprovoked,USA,Hawaii,Swimming with pod of dolphins,M,False
2003.0,Unprovoked,USA,Johnston Atoll,Swimming,M,False
2003.0,Unprovoked,USA,North Carolina,Surfing ,M,False
2003.0,Unprovoked,USA,Florida,Surfing,,False
2003.0,Invalid,USA,South Carolina,Swimming,F,True
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Wading,M,False
2003.0,Unprovoked,USA,Hawaii,Swimming,M,False
2003.0,Provoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Walking,F,False
2003.0,Unprovoked,PHILIPPINES,Baatan,,,False
2003.0,Provoked,BRAZIL,Rio de Janeiro,Killing  sharks,M,False
2003.0,Unprovoked,BRAZIL,Rio de Janeiro,Swimming ,M,False
2003.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,False
2003.0,Unprovoked,BRAZIL,Rio de Janeiro,Swimming,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Jumping,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Swimming (using a float),M,False
2003.0,Unprovoked,VENEZUELA,Nueva Esparta,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Unprovoked,USA,Florida,Surfing,M,False
2003.0,Provoked,USA,Florida,Petting captive sharks,F,False
2003.0,Unprovoked,NEW ZEALAND,Southland,Scuba diving,M,False
2003.0,Unprovoked,AUSTRALIA,South Australia,Wading,M,False
2003.0,Unprovoked,USA,Florida,Swimming,M,False
2003.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,False
2003.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,True
2003.0,Invalid,SOUTH AFRICA,Western Cape Province,Unknown,M,True
2003.0,Unprovoked,COSTA RICA,North Pacific coast,Surfing,M,False
2003.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,False
2002.0,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,False
2002.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Snorkeling,M,False
2002.0,Unprovoked,AUSTRALIA,Queensland,Scuba diving,M,False
2002.0,Invalid,AUSTRALIA,Queensland,Swimming,M,True
2002.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,True
2002.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,True
2002.0,Unprovoked,MICRONESIA,Caroline Islands,Scuba diving,M,False
2002.0,Unprovoked,USA,California,Body boarding,M,False
2002.0,Unprovoked,USA,Hawaii,Swimming,F,False
2002.0,Unprovoked,TURKS & CAICOS,Caicos Bank,Snorkeling,F,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Boogie boarding,M,False
2002.0,Unprovoked,FRENCH POLYNESIA,Society Islands,"Fishing, standing in 2' of water",M,False
2002.0,Unprovoked,USA,Hawaii,Swimming,F,False
2002.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Hawaii,Fishing from Surfboard,M,False
2002.0,Provoked,USA,Florida,Fishing,M,False
2002.0,Provoked,TONGA,Vava'u,Swimming,M,False
2002.0,Unprovoked,USA,Oregon,Boogie boarding or Surfing,M,False
2002.0,Unprovoked,USA,California,Surfing,M,False
2002.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,False
2002.0,Unprovoked,USA,Hawaii,Body boarding,,False
2002.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing,M,False
2002.0,Unprovoked,USA,Florida,Boogie boarding,M,False
2002.0,Provoked,USA,Florida,"Wading, when he stepped on the shark",M,False
2002.0,Unprovoked,USA,Hawaii,Surfing,M,False
2002.0,Unprovoked,USA,Alabama,Swimming,F,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Standing,M,False
2002.0,Provoked,UNITED KINGDOM,Cheshire,Diving,M,False
2002.0,Unprovoked,USA,North Carolina,Standing,M,False
2002.0,Unprovoked,USA,South Carolina,Surfing,M,False
2002.0,Unprovoked,USA,North Carolina,Swimming,F,False
2002.0,Provoked,USA,Florida,Surfing,M,False
2002.0,Provoked,USA,Maryland,Shark Fishing,M,True
2002.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,False
2002.0,Unprovoked,USA,North Carolina,Standing,F,False
2002.0,Unprovoked,AUSTRALIA,Queensland,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Swimming,F,False
2002.0,Invalid,INDONESIA,,,,True
2002.0,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,,,False
2002.0,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,Attempting to retreive a dinghy,,True
2002.0,Unprovoked,USA,Hawaii,Sitting on surfboard,,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Swimming,M,False
2002.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Snorkeling (filming the sardine run),M,False
2002.0,Unprovoked,USA,California,Surfing,M,False
2002.0,Unprovoked,USA,Florida,Floating on a raft,M,False
2002.0,Provoked,USA,Florida,"Fishing, removing the shark from his line",M,False
2002.0,Unprovoked,USA,Florida,Playing in the surf with his 2 dogs,M,False
2002.0,Unprovoked,COSTA RICA,Guanacaste,Surfing,M,False
2002.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Collecting beche-de-mer,M,False
2002.0,Unprovoked,USA,Florida,Fishing,M,False
2002.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,False
2002.0,Provoked,AUSTRALIA,Northern Territory,Fishing from prawn trawler,M,False
2002.0,Unprovoked,AUSTRALIA,South Australia,Scallop diving (using surface-supplied air & a POD) ,M,True
2002.0,Invalid,AUSTRALIA,New South Wales,Fishing (Drowned 2-Apr-2002),M,True
2002.0,Unprovoked,USA,Florida,"Surfing, but standing in water alongside board",M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,False
2002.0,Unprovoked,BAHAMAS,Abaco Islands,Standing,M,False
2002.0,Unprovoked,USA,Florida,Wading,M,False
2002.0,Unprovoked,USA,Florida,Swimming / Wading,M,False
2002.0,Unprovoked,USA,Hawaii,Body-boarding,M,False
2002.0,Unprovoked,USA,Florida,Wading,F,False
2002.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2002.0,Unprovoked,USA,Florida,Swimming /  boogie boarding,M,False
2002.0,Unprovoked,USA,Florida,Snorkeling,M,False
2002.0,Unprovoked,USA,Florida,Surfing,M,False
2002.0,Invalid,NEW CALEDONIA,Loyalty Islands,Spearfishing,M,True
2002.0,Unprovoked,TURKS & CAICOS,,Capsized fishing boat,M,True
2002.0,Unprovoked,AUSTRALIA,Queensland,Surfing,M,False
2002.0,Unprovoked,FIJI,Cikobia Island (north of Vanua Levu),,M,True
2002.0,Boating,AUSTRALIA,New South Wales,Kayaking,M,False
2002.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2002.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,False
2002.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,False
2002.0,Unprovoked,BRAZIL,Pernambuco,Swimming,,True
2002.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,M,False
2002.0,Unprovoked,USA,Hawaii,Snorkeling,M,False
2001.0,Invalid,AUSTRALIA,Western Australia,Surfing,M,False
2001.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2001.0,Unprovoked,USA,Hawaii,Surfing,,False
2001.0,Invalid,AUSTRALIA,Western Australia,Surf-skiing,M,True
2001.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Kite-Boarding,M,False
2001.0,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,False
2001.0,Unprovoked,MEXICO,Guerrero,Body surfing,M,False
2001.0,Boat,AUSTRALIA,Queensland,,M,False
2001.0,Provoked,USA,Florida,"Surfing, fell off surfboard & stepped on the shark.",M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Invalid,USA,Florida,Wreck / Technical diving,M,True
2001.0,Unprovoked,USA,Florida,Boogie boarding,M,False
2001.0,Unprovoked,USA,North Carolina,Surfing,M,False
2001.0,Provoked,UNITED KINGDOM,Cheshire,Diving,M,False
2001.0,Provoked,USA,Florida,Fishing,M,False
2001.0,Unprovoked,USA,Florida,Walking in shallows,M,False
2001.0,Invalid,USA,South Carolina,Swimming,F,False
2001.0,Unprovoked,USA,North Carolina,Swimming ,M,True
2001.0,Unprovoked,USA,North Carolina,Swimming,F,False
2001.0,Unprovoked,USA,Florida,Wading,M,False
2001.0,Unprovoked,USA,Virginia,Swimming ,M,True
2001.0,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,False
2001.0,Unprovoked,USA,Florida,Standing,F,False
2001.0,Unprovoked,USA,Florida,Wading,M,False
2001.0,Unprovoked,USA,Florida,Boogie Boarding,M,False
2001.0,Unprovoked,USA,Florida,Boogie Boarding,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,F,False
2001.0,Unprovoked,USA,Florida,Surfing,F,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,M,False
2001.0,Unprovoked,THAILAND,Rayong Province,Fell off banana boat,M,False
2001.0,Unprovoked,USA,South Carolina,,F,False
2001.0,Unprovoked,BAHAMAS,Grand Bahama Island,Swimming,M,False
2001.0,Boating,ITALY,,Fishing,,False
2001.0,Unprovoked,USA,South Carolina,,F,False
2001.0,Unprovoked,USA,Florida,,M,False
2001.0,Unprovoked,USA,Florida,,F,False
2001.0,Boating,USA,Massachusetts,Fishing,,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Boogie boarding,M,False
2001.0,Unprovoked,MEXICO,Baja California,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Swimming,M,False
2001.0,Unprovoked,USA,South Carolina,,,False
2001.0,Unprovoked,USA,Georgia,Floating face-down in knee-deep water,M,False
2001.0,Unprovoked,USA,Texas,Swimming,M,False
2001.0,Provoked,USA,California,Spearfishing,M,False
2001.0,Invalid,AUSTRALIA,New South Wales,Hiking on the beach,M,True
2001.0,Unprovoked,USA,South Carolina,Wading,F,False
2001.0,Unprovoked,USA,Texas,,M,False
2001.0,Unprovoked,USA,South Carolina,Swimming,M,False
2001.0,Unprovoked,USA,South Carolina,Swimming,M,False
2001.0,Provoked,PHILIPPINES,Zamboanga del Sur Province,Shark fishing,M,False
2001.0,Invalid,MADAGASCAR,,,M,True
2001.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2001.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,FIJI,Taveuni,"Spearfishing, carrying his catch",M,True
2001.0,Unprovoked,USA,Florida,Boogie boarding,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Body boarding,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Unprovoked,USA,Hawaii,Surfing,M,False
2001.0,Unprovoked,USA,Florida,Surfing,,False
2001.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2001.0,Provoked,AUSTRALIA,New South Wales,Snorkeling,M,False
2001.0,Unprovoked,USA,Florida,Standing alongside surfboard,M,False
2001.0,Unprovoked,BRAZIL,Rio Grande de Norte,Batin,F,False
2001.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2001.0,Unprovoked,USA,Hawaii,Body-boarding,M,False
2001.0,Unprovoked,USA,Florida,Surfing,M,False
2001.0,Invalid,BRAZIL,Bahia,Attempting to catch a crocodile,M,True
2001.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2001.0,Sea Disaster,CARIBBEAN SEA,,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,,True
2001.0,Boating,AUSTRALIA,Western Australia,Fishing for whiting,,False
2001.0,Invalid,MALAYSIA,Off the western coast of peninsular Malaysia,Unknown,F,True
2001.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2001.0,Boating,AUSTRALIA,New South Wales,Kayaking,M,False
2001.0,Unprovoked,CUBA,Holquin Province,Swimming,F,False
2001.0,Boating,AUSTRALIA,South Australia,Fishing,,False
2001.0,Unprovoked,USA,California,Surfing,M,False
2001.0,Boating,NEW ZEALAND,North Island,Kayaking,M,False
2000.0,Unprovoked,AUSTRALIA,Queensland,Scuba diving,M,False
2000.0,Unprovoked,FIJI,Taveuni,Swimming back from anchored sailboat,M,True
2000.0,Boating,AUSTRALIA,South Australia,Fishing for whiting,,False
2000.0,Unprovoked,CANADA,New Brunswick,Diving for sea urchins,M,False
2000.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,False
2000.0,Unprovoked,NEW ZEALAND,Cook Islands,Surfing,F,True
2000.0,Unprovoked,AUSTRALIA,Queensland,Diving (shell maintenance),M,False
2000.0,Invalid,AUSTRALIA,South Australia,Shipwrecked,M,True
2000.0,Unprovoked,USA,Florida,Swimming,M,False
2000.0,Invalid,USA,Florida,Walking,F,True
2000.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,False
2000.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,True
2000.0,Unprovoked,USA,California,Surfing,M,False
2000.0,Boat,AUSTRALIA,Queensland,Fishing ,,False
2000.0,Unprovoked,USA,Florida,Surfing,M,False
2000.0,Unprovoked,USA,Hawaii,Swimming / snorkeling,F,False
2000.0,Unprovoked,USA,Florida,Swimming,M,False
2000.0,Unprovoked,USA,Florida,Surfing,M,False
2000.0,Unprovoked,USA,Florida,Surfing,M,False
2000.0,Unprovoked,USA,Florida,Body surfing,M,False
2000.0,Unprovoked,USA,North Carolina,Surfing,M,False
2000.0,Unprovoked,USA,California,Sitting on surfboard,M,False
2000.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,True
2000.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,True
2000.0,Provoked,AUSTRALIA,New South Wales,Fell onto dead shark,M,False
2000.0,Unprovoked,OKINAWA,Miyako Island,Surfing,M,True
2000.0,Unprovoked,USA,South Carolina,,,False
2000.0,Unprovoked,USA,Florida,Standing / surfing,M,False
2000.0,Unprovoked,USA,Florida,Surfing,F,False
2000.0,Unprovoked,USA,Florida,Swimming / Body surfing,M,False
2000.0,Unprovoked,USA,Florida,Swimming,M,False
2000.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Free diving,M,False
2000.0,Unprovoked,TANZANIA,,Swimming,M,True
2000.0,Unprovoked,USA,Florida,Wading,M,False
2000.0,Unprovoked,REUNION,Saint-Pierre,Surfing,M,False
2000.0,Unprovoked,TANZANIA,,Swimming,,True
2000.0,Unprovoked,USA,Florida,Swimming,M,False
2000.0,Unprovoked,USA,Florida,Jumped into the water,M,True
2000.0,Provoked,USA,Alaska,Conducting research,M,False
2000.0,Unprovoked,USA,North Carolina,Swimming out to porpoises ,M,False
2000.0,Unprovoked,USA,Hawaii,"Windsurfing, but sitting on his board",M,False
2000.0,Unprovoked,USA,Florida,Surfing / Wading,M,False
2000.0,Unprovoked,USA,Florida,Standing,F,False
2000.0,Invalid,USA,North Carolina,Swimming ,M,True
2000.0,Invalid,USA,Florida,Attempting to illegally enter the USA,M,True
2000.0,Unprovoked,TANZANIA,,Swimming,,True
2000.0,Unprovoked,USA,Florida,,M,False
2000.0,Unprovoked,USA,Florida,Snorkeling,F,False
2000.0,Unprovoked,USA,North Carolina,Surfing,M,False
2000.0,Unprovoked,USA,North Carolina,Surfing,M,False
2000.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2000.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2000.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,False
2000.0,Unprovoked, TONGA,Minerva Reef,Scuba diving,M,False
2000.0,Unprovoked,USA,Florida,Wading,M,False
2000.0,Unprovoked,USA,Florida,Swimming ,M,False
2000.0,Unprovoked,USA,Texas,Jumping,M,False
2000.0,Unprovoked,USA,North Carolina,Playing,F,False
2000.0,Unprovoked,USA,Florida,Wading,F,False
2000.0,Unprovoked,USA,Florida,"Spearfishing, holding mesh bag with speared fish",F,False
2000.0,Unprovoked,USA,Florida,Wading,F,False
2000.0,Unprovoked,USA,Florida,Standing,F,False
2000.0,Unprovoked,TANZANIA,,Swimming,,True
2000.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,,M,True
2000.0,Boat,NEW ZEALAND,North Island,Fishing,M,False
2000.0,Unprovoked,USA,Florida,Standing,M,False
2000.0,Boat,USA,Florida,Sailing,,False
2000.0,Unprovoked,USA,Texas,Surfing,M,False
2000.0,Unprovoked,USA,Alabama,Swimming,M,False
2000.0,Unprovoked,USA,Alabama,Swimming ,M,False
2000.0,Unprovoked,USA,Florida,Snorkeling,M,False
2000.0,Unprovoked,TANZANIA,,Swimming,M,True
2000.0,Sea Disaster,NEW CALEDONIA,South Province,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",,True
2000.0,Invalid,AUSTRALIA,Victoria,,,True
2000.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,Standing,M,False
2000.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,Diving,M,True
2000.0,Unprovoked,USA,Florida,Walking,M,False
2000.0,Unprovoked,USA,Florida,Boogie boarding / wading,M,False
2000.0,Unprovoked,USA,Florida,Fishing,M,False
2000.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,False
2000.0,Unprovoked,USA,Florida,Boogie boarding,F,False
2000.0,Unprovoked,USA,Florida,Surfing,M,False
2000.0,Unprovoked,NEW CALEDONIA,North Province,Spearfishing,M,True
2000.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2000.0,Boating,AUSTRALIA,New South Wales,Rowing,,False
2000.0,Boating,AUSTRALIA,New South Wales,Rowing,,False
2000.0,Invalid,NEW ZEALAND,North Island,Kayaking,M,True
2000.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,False
2000.0,Unprovoked,USA,Louisiana,Spearfishing,M,False
2000.0,Unprovoked,USA,Florida,,M,False
2000.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Body surfing,M,False
2000.0,Provoked,ENGLAND,Worcestershire,Feeding prawns to captive sharks,M,False
2000.0,Unprovoked,NEW ZEALAND,South Island,Surfing,M,False
2000.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,False
2000.0,Boat,REUNION,,Canoe with 3 men onboard sank,M,True
2000.0,Unprovoked,THAILAND,Phang nga Province,Diving,M,True
2000.0,Boat,USA,Florida,Fishing for tarpon,M,False
1999.0,Unprovoked,NEW ZEALAND,South Island,Surfing,M,False
1999.0,Unprovoked,NEW ZEALAND,South Island,Swimming,F,False
1999.0,Unprovoked,NEW ZEALAND,South Island,Bathing,F,False
1999.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,False
1999.0,Invalid,USA,California,Scuba diving,M,True
1999.0,Invalid,BRAZIL,Rio de Janeiro,Spearfishing,M,False
1999.0,Unprovoked,USA,Florida,Surfing,M,False
1999.0,Unprovoked,USA,Florida,Surfing,M,False
1999.0,Unprovoked,USA,Hawaii,Swimming,F,False
1999.0,Unprovoked,USA,California,Surfing (sitting on his board),M,False
1999.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,False
1999.0,Unprovoked,BRAZIL,Rio de Janeiro,"Spearfishing, but swimming at surface",M,False
1999.0,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Swimming,M,False
1999.0,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Swimming,M,False
