Year,Type,Country,Area,Activity,Sex ,Fatal
2017.0,Unprovoked,USA,Florida,Swimming,M,False
2017.0,Unprovoked,USA,Texas,Swimming,F,False
2017.0,Unprovoked,USA,Florida,Surfing,M,False
2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,False
2017.0,Unprovoked,USA,Florida,Wading,F,False
2017.0,Invalid,SPAIN,Castellón,Swimming,F,True
2017.0,Unprovoked,NEW ZEALAND,North Island,Canoeing,M,False
2017.0,Unprovoked,USA,Massachusetts,SUP,M,False
2017.0,Unprovoked,BAHAMAS,,Spearfishing,M,False
2017.0,Unprovoked,USA,South Carolina,Swimming,M,False
2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,False
2017.0,Provoked,USA,Massachusetts,Fishing,M,False
2017.0,Boating,USA,California,Kayaking / Fishing,M,False
2017.0,Unprovoked,USA,Florida,Skimboarding,M,False
2017.0,Invalid,USA,South Carolina,Swimming,M,True
2017.0,Unprovoked,USA,South Carolina,,F,False
2017.0,Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,False
2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,False
2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,False
2017.0,Unprovoked,USA,New Jersey,,F,False
2017.0,Unprovoked,SPAIN,Majorca,Swimming,F,False
2017.0,Unprovoked,USA,Florida,,F,False
2017.0,Invalid,USA,South Carolina,Swimming,F,True
2017.0,Boating,USA,California,Kayaking,M,False
2017.0,Unprovoked,USA,California,SUP,M,False
2017.0,Unprovoked,USA,Washington,Surfing,M,False
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2017.0,Boating,USA,California,Kayaking,M,False
2017.0,Unprovoked,USA,Florida,Swimming,M,False
2017.0,Provoked,MEXICO,Tabasco,Fishing,M,False
2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,False
2017.0,Invalid,COMOROS,Anjouan,Fishing,,True
2017.0,Invalid,USA,South Carolina,Fishing,M,True
2017.0,Unprovoked,USA,South Carolina,Swimming,F,False
2017.0,Unprovoked,USA,Florida,Surfing,M,False
2017.0,Unprovoked,USA,South Carolina,Swimming,F,False
2017.0,Unprovoked,REUNION,,Body boarding,M,False
2017.0,Unprovoked,SPAIN,Ibiza Island,Swimming,M,False
2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,False
2017.0,Unprovoked,BAHAMAS,,Feeding sharks,F,False
2017.0,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,False
2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,F,False
2017.0,Unprovoked,USA,Florida,Surfing,M,False
2017.0,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,False
2017.0,Unprovoked,USA,Florida,Spearfishing,M,False
2017.0,Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,False
2017.0,Provoked,USA,South Carolina,Touching a shark,F,False
2017.0,Unprovoked,USA,Florida,Feeding sharks,M,False
2017.0,Invalid,AUSTRALIA,New South Wales,Fishing ,M,False
